rank	docno	pre	text	post	source
1	jP0CQM_67_4	I think I definitely interrupt and talk too long.	I'm a notorious interrupter... I've gotten better at that though... Through years of effort.		retrieval
2	jP0CQM_67_3	Ha!	I think I definitely interrupt and talk too long.	I'm a notorious interrupter... I've gotten better at that though... Through years of effort.	retrieval
3	6mD5qO_2_12	But I'm afraid that they do.	I often interrupt/butt in without even realizing that I did something wrong.	If nobody tells me, I don't always connect people's responses to I did something wrong.	retrieval
4	GPUbkL_303_4	Then they would tell me contradicting procedures.	"I was told I ""interrupted"" people often."	When I asked a question, people would go about it a different route rather than answer my question and confuse me more.	retrieval
5	mxeE1J_75_1	People who understand me best and are generally compassionate allow me the room to not be interrupted.	When I get the opportunity, I'll react to an interruption with a solemn look, a few seconds of pause (which I need to redirect my thoughts anyway) and then go on the next thread, perhaps betraying my annoyance in the process.	This isn't diplomatic, nor does it win you friends, but it tends to drive a point home.	retrieval
7	XMGG6T_108_2	I have some awful memory problems as well, and have to interrupt people RIGHT THEN and if I don't... I will forget what I was going to say.	It's awful because I'm convinced everyone thinks I'm just a rude motherfucker, but really if I don't interrupt you I'm going to spend my whole day trying to remember what I was thinking.	So either I look like the asshole for being the worst interrupter on the planet, or I get mad at myself and it lasts for hours if it happens repeatedly throughout the day.	retrieval
9	HcPCbS_118_2	Scheduling phone calls should work, in that case.	It drives me up the wall to be interrupted because being yanked out of focus is jarring, and I lose the tenuous map I've built up in my mind of what I'm doing, what I'm going to be doing next, and how I'm going to get there, and it takes me 20-30 minutes to build it back up.	At work, I had coworkers who'd drop by every so often just to ask quick questions (obviously getting in a bit of exercise as they walked around the building and getting in some social time as well), but I hated that because I'd lose whatever I was working on and not be able to get it back for a long time.	retrieval
10	i5ekD0_84_21	5.	Now speaking of interruptions, I'm starting to worry that I don't have them often enough.	I had an unplanned 3-day food bender about 2 weeks after deciding to lose weight and reducing my food intake (precipitated by getting totally wasted).	retrieval
11	XMGG6T_108_1	I do this.	I have some awful memory problems as well, and have to interrupt people RIGHT THEN and if I don't... I will forget what I was going to say.	It's awful because I'm convinced everyone thinks I'm just a rude motherfucker, but really if I don't interrupt you I'm going to spend my whole day trying to remember what I was thinking.	retrieval
12	FSeqbB_170_2	I usually just follow their social cues, but sometimes there are weird exceptions that make my life harder/more annoying.	For example, when two people are clearly discussing business matters, I know that they don't want me to interrupt, but probably have somewhere they need to be right after lunch.	Then my only indication that they're finished is that their food is gone - if there's only a little left but they're poring over folders, sometimes they still want to finish and now I've just interrupted their conversation.	retrieval
14	hoN4jt_137_0		I hate when people interrupt me doing this.	I'm thinking, asshole, if you don't want a well thought answer then was it worth asking the question?	retrieval
17	fSSdry_61_1	I'm fast paced too and I definitely understand where you're coming from.	Sometimes I have to stop and take a second when I'm being impatient with someone - like if they are taking a long time to finish a sentence and I'm just restless.	I think that being mindful of your own frustrations and impatience can be a really great way to be more patient with your girlfriend as well as other people!	retrieval
19	UO3lvg_17_2	I'd try to talk to adults but they'd write me off because I was this toe-headed ball of energy in a frilly dress trying to talk about how stars work, or did you know that cave paintings are consistent across a wide geographic era/time period which suggests that there was contact between groups previously thought to be unconnected.	I also interrupted all the time by mistake because I'd bet excited about what I was thinking.	I used to get really embarrassed though if I got called on it because of the negative attention.	retrieval
20	RIz2w6_54_1	I seriously might get the timex weekender or easy reader *because* they tick loud.	I easily get distracted if their is a conversation going on in the background.	Of course the ticking won't block out the sound,  but it might serve as a white noise of sorts.	retrieval
21	XMGG6T_108_3	It's awful because I'm convinced everyone thinks I'm just a rude motherfucker, but really if I don't interrupt you I'm going to spend my whole day trying to remember what I was thinking.	So either I look like the asshole for being the worst interrupter on the planet, or I get mad at myself and it lasts for hours if it happens repeatedly throughout the day.	I'm glad someone else said this too.	retrieval
23	mxeE1J_75_6	But in a job, that might not work.	It's hard to be interrupted, but I find that taking all the time I can/need to think through an idea is not only productive, it's respected by a lot of people.	At least it is in the fields in which I work (I imagine in something like finance, it's a bit different).	retrieval
