rank	docno	pre	text	post	source
2	0f249b_416_0		Sometimes I get stuck in hyper focus and will not cease til it's done.	I know it's silly but it doesn't feel silly while I'm doing it.	retrieval
3	YurhHv_537_1	Do you think there's any benefit to reading an article all at once?	I lose my focus quite quickly but find I can focus on one section of an 8 page article (for example) really well and lose the focus by the time I can get to the next one.	Anybody else do this?	retrieval
4	Np9yqL_372_3	I find on my meds, even if I have the opportunity to do all sorts of stupid shit, I'm somehow not tempted?	I may get distracted for like 5 min but feel a really strong pull to go back to the thing I'm supposed to be doing and snap back into my work really quickly, easily, and happily even.	And modafinil isn't like that?	retrieval
5	hUARHG_139_0		I pretty much had to quit my job (I'm an office admin) because I couldn't focus for an entire work day.	I'm trying to not get too frustrated and overwhelmed, so I focus on what I CAN do, like getting lots of sleep and eating well.	retrieval
7	ewofdX_112_2	I have the inattentive type and I have never experienced hyperfocus, and drugs do very little for me in the way of helping me channel my thoughts.	If I find a topic or activity interesting, I'll stay with it for a short while, but I'll then lose any desire or focus I had for that topic and will move onto something else.	I've never maintained any interest or hobby for very long and I struggle to do my assignments and exams or any activity that isn't recreational.	retrieval
8	aNtiYu_5_14	"When I found that outlet for mental ""happy"", so to say, in something that pushed me hard and fast and finally gave me that little foothold on life, my feeling of being ""ADD"" completely vanished."	Sure, I have a distinct lack of focus, in things that do not interest me, like spanish class, listening to my sociology teacher drone on about whatever the fuck he thinks society is.	But talking in spanish, studying it on my own, applying the tools handed to me by the sociology textbook to my own world at my own capacity, is fascinating and full of joy and googly-eyes.	retrieval
9	tLr51V_475_0		I can barely concentrate on one thing lol.		retrieval
10	pmU8VS_206_3	Those things, however, are few and far between.	Many things that interest me I can't maintain focus in because it's too hard to think, almost like just as the thought is becoming a cohesive thing, it hits a wall and just gets stuck.	I'm on my meds right now, which is the only reason I was able to collect my thoughts and effectively write them into a cohesive body here.	retrieval
11	tFulPd_229_4	But I've been on the lowest dose of adderall so far, and it's been plenty.	I don't need to become ultra-focused, just enough to where I am capable of pushing through the boring work.		retrieval
12	zp58Ks_77_1	Yeah the music can be distracting, don't know why taking adderall makes me want to listen but that's something I'm trying change.	"Experienced ""hyperfocus"" a few times when I really got a lot of work done, but that happens randomly."	Alrighty, that's all the questions I had to ask (can't really talk about adderall in school considering it's reputation and all).	retrieval
13	CYL9L1_184_4	Otherwise, I just can't work a full day.	There are some days that I just can't concentrate for the life of me.	I'm lucky enough to work from home and for my mom, so she understands my struggles really well as I've struggled like this my whole life.	retrieval
14	AxZPcV_260_0		Ya I have to be fully focused to understand what's going on, any distraction and I'm lost.		retrieval
15	GxMiSv_515_0		Same, I'll get hyper focused on stuff that I don't need, and neglect tasks that need to get done.	For example I'd sit down to write a 10 page paper, end up 4 hours with an excel spreadsheet workout/muscle growth tracker.	retrieval
16	gjnx9e_478_5	We blew up at each other like, to games ago because of stress and gaming style disagreements, and made up with the intention of working through things.	I started keeping a notebook of information to keep me from getting distracted (we previously just took scant notes and relied on Roll20 handouts and a rarely used notes page or two), which I think has kept me engaged much better.	Everyone else has adjusted pleasantly so far, and we're still having a good time.	retrieval
17	ujjoZ2_52_28	"I forget my original plan and instead get all of these ""great ideas""."	I switch from task to task until I get burnt out.	After that I need a nap and waste hours trying to get my energy back.	retrieval
18	q8mMuL_190_1	How old are you?	I know that may seem irrelevant, but I've noticed that people who grew up with internet say they've had this issue with short attention span for as long as they can remember, while older people will say, for example, that they used to be able to read a book without their mind wandering every third line, fucking tabbed browsers, grumble grumble.	This suggests that the problem is a result of environment, and not an innate characteristic, which means that it's something that can be changed.	retrieval
19	gUgJXb_570_15	Working out is hard and not regular so it doesn't help, even if I could it doesn't help with this.	I can't sit still and focus on anything.	reading a book is almost impossible because I can't focus because I just get frustrated.	retrieval
21	0OkfFI_117_2	I can't even be specific on it.	Some days i can hyperfocus on cleaning after work or watching tv or playing a game.	At work, I'm always striving to be the best and not trying to show that I'm a human that makes mistakes.	retrieval
22	UO3lvg_146_1	I'm simultaneously interested in everything and disinterested in everything.	It's hard to catch my attention, but when it is caught, I become engrossed in the thing until I understand it, at which point I quickly switch to something new.		retrieval
24	DGAIeZ_6_16	&gt; I'm not sure what to do because the passions she helped me find in life have become my career.	How do I handle doing my work properly without becoming distracted?	If it is possible could you take a couple of days off work and chill out, see friends, do some self-care?	retrieval
25	ofmiqB_35_7	Some people work better on fast-release meds while slow-release works better for others since it is less prone to abuse as the dose is more drawn out and the effect is more stable and you don't have to remember to take your pills as many times per day or if you have already taken them for that matter....excuse the run on sentence.	I have a tendency to hyper focus...on occasion.	&amp;nbsp;	retrieval
26	Hl3moM_4_30	I have a bunch of computers acting as servers and parts and it's hard to organize all of it.	If I keep the limit of things around me to a min the less I get distracted by all the things I need to do that aren't as high a priority as work.	There's probably some i'm not thinking of.	retrieval
27	q8mMuL_590_18	I think it also kind of forces my attention onto my body and the sex I'm having.	I get distracted easily.		retrieval
28	QTbpt5_185_2	"Focus focus focus."""	Then I go to get back on the task, get distracted, and realize I've spend 45 fucking minutes not doing what I was actually supposed to be doing.	My short term memory is garbage too.	retrieval
29	r5NEyl_396_5	I work in digital marketing so really I just do whatever's necessary.	Occasionally I'll get stuck on something I really enjoy and work straight until the next day.	My overall goal though will be to transition to 10-20 hour weeks.	retrieval
30	RPCX6E_196_1	I've found that it depends on how occupied I am.	If I'm busy with work or other obligations, my mind doesn't have as much of an opportunity to fixate.	Idle time can be the worst for me.	retrieval
31	Ld8rHD_133_1	As a person with severe ADD, I wholeheartedly understand.	concentrating is something I do not do well at all.	I know I have to do something and I can never seem to focus on it.	retrieval
33	dG82nV_68_10	* **Use internet surfing to reward yourself.**	For me, I tell myself if I work two solid hours with no distractions, I'll take a break to surf the web for 15 minutes.	Or if I put in three dedicated hours of cleaning the house, I'll give myself a 30 minute break to relax with my iPhone.	retrieval
35	ixjTAT_197_10	Don't just think I'll bang out the music for this game in the final month, you need to improve over time so start sooner.	I find which task I'm working on depends on my mental state and how tired I am.	For data, I can do that whilst playing another game passively.	retrieval
36	qaLAnn_139_0		No, I take breaks and pull out different sections if I need to focus on something.	I also warm up a bit beforehand.	retrieval
37	Wt2EqY_59_1	Caffeine is my solution for everything.	It sounds dumb, but at least for me, I'm a more interesting person when I can't concentrate or anything.	Maybe it'll work for you?	retrieval
38	NNpWTS_159_28	Do all the work.	In the past when I've had trouble focusing, it usually been due to one of two reasons, either, the class isn't challenging me enough, or, I’m finding the class extremely challenging.	In all honesty, it's usually the latter.	retrieval
40	Ou3xUU_131_2	Nowadays, I feel like I have a much more difficult time reading or even processing something I just read.	I find myself compulsively scanning text and to read the full body of text I have to exert my focus to the words in order which causes me a little mental fatigue.	When I was younger there were times where I would be so enthralled with a book that I would be glued to it, forsaking everything else even reading in class and ignoring my teacher.	retrieval
41	P4snm9_53_14	Those tendencies affected every aspect of my life and while it's gotten a bit better in some areas, it's still a big problem in others.	Part of it comes from having to drop what I'm doing all of the time because something more important came up, and the other is my brain's dreadful processing.	"Understandably, these habits really piss my partner off and even if it's something ""I can't help,"" it isn't fair on people who have to deal with me."	retrieval
43	yymUlT_169_0		Just looking for concentration I generally hate working on anything because I'm lazy.		retrieval
44	QTbpt5_197_0		I usually have some sort of video or podcast on in the background at work because I find if it's too quiet, my mind wanders even faster.	To sleep, I usually put on my TV with a rerun of something I've already watched just so my brain can half-focus on that instead of jumping all over the plan and never letting me get any sleep.	retrieval
45	HZuyMA_215_12	My mind is blank most the time, and usually distracting my self with food and tv.	There has been times where I don't have distractions available, I could easily blankly stare a wall for an hour.	Identities have been very interchangeable in my mind.	retrieval
49	bxEj5V_236_0		Not even once I have concentration issues as in i don't very well.	The book just isn't all that interesting at least of what I did read.	retrieval
39	GIO9uS_485_0		I can put myself in your position if I read 'get busy' with the tone you took it as having.	You're imagining an intention which I did not have, however.	random
40	h6etl6_144_0		This is, by far, my favorite thing to tell my friends about this game.		random
41	etBLvk_435_0		I once was able to lick my dick, it wasn't that great, had to sort of ouch my dick up and force my head down with my other hand.	Wouldn't recommend.	random
42	fXwkPM_45_1	See, this gives me a lot to think of.	I'm not adopted, but my son is.	His bio-mom was on drugs, 16 and had a rough life.	random
