rank	docno	pre	text	post	source
2	Gxe4SQ_115_6	Yay steroids.	When I speak the conversation stops to listen.	I hear my name come up in conversations, and my advice and thoughts are given much more immediate consideration now (before being discarded when I say something dumb :b).	retrieval
3	r9t6uu_845_9	It's ok I guess haven't gotten any complaints.	Active listening is another thing I've been practicing but for some reason i get hyper focused on listening but it never actually processes in my brain what to say next or what is an appropriate response to what they are talking about.	I don't mind learning new things.	retrieval
4	LXWXXL_80_2	That is one thing I have to work on; having a signature way of making people understand I like them.	I am always working on being a good listener, but sometimes I slip up, especially if the other person is a good listener themself.	In such a case I have to make a mental note not to go on for too long about myself!	retrieval
5	vfDleH_188_1	This is the problem I have.	I try to listen, but I'm often spending that time trying to figure out what to say next.	It's a self-perpetuating deficiency.	retrieval
7	RIz2w6_54_1	I seriously might get the timex weekender or easy reader *because* they tick loud.	I easily get distracted if their is a conversation going on in the background.	Of course the ticking won't block out the sound,  but it might serve as a white noise of sorts.	retrieval
9	0hjlwH_141_0		I just sometimes get overwhelmed by people talking around me and can't focus on any one conversation.	Have earplugs on me at all times so it can at least become quieter senseless noise for a bit.	retrieval
10	JD2JQY_43_7	Sometimes I have no idea what to say either.	I'll be actively listening to a conversation and when I come up, I have trouble formulating an answer.	I'm also the last one to laugh at a joke a lot of the time, it's like I'm too slow to take part in a conversation.	retrieval
11	foT80y_12_3	In this case, I make the person repeat and it might me old school but writing it down helps you to focus on the content of the conversation  (if it's a task at school or work).	If it's just a casual conversation, then I try as hard as I can to focus on the person's voice and I just deal with it.		retrieval
12	RCnnw3_408_1	When I'm reflecting back on embarrassing events that  happened to me I'll unconsciously begin to say things out loud.	"It's never been noticable to others because it mostly happens when I'm alone, but I'll have moments where I'm like ""Why the fuck am I talking?"""		retrieval
15	24B29t_514_1	This is what I thought would happen to me on MDMA (the hitting on girls part) but every time I've done it I just get so high that I can't be coherent enough to smooth talk.	I end up forgetting what I'm talking about a lot and have a hard time maintaining eye contact (or even looking in one spot for more than a second).	I just want to dance with blankets on me	retrieval
16	Z0y7D9_75_1	I hate this.	I know that somebody is talking to me, I can hear what they're saying clearly, but **none** of it reaches my head.		retrieval
