rank	docno	pre	text	post	source
1	qTvCID_47_0		I tend to organize things but then they get quickly disorganized and then I become too lazy to reorganize them.		retrieval
4	eH643D_136_3	Should I do one task a day?	How do I go about moving from being disorganized to organized?	I really wanna hammer this habit ...	retrieval
5	0LPnSP_142_3	I moved and didn't have things sorted out enough space wise to keep it inside yet.	I got organized but just hadn't gotten around to bringing it back inside, which is what makes this suck even more.		retrieval
7	eH643D_136_0		I'm the definition of disorganization and I really want to change for the better... How do I go about becoming generally organized?	Should I play more tetris and do tasks everyday that involve organization?	retrieval
8	72kWgR_360_4	I must say that typing notes and scenes and the whole structure of how I work has changed for the better.	I am still getting around the organizing part.	Any tips and suggestions to keep things organized and neat?	retrieval
9	ns4ZUe_37_6	I'm working on it.	I am never going to be a particularly organized person (and I'm okay with that), but I find that I have improved a lot with age.		retrieval
10	HEPbZf_489_5	I just feel incompetent and stupid.	I'm so unorganized and make stupid mistakes all the time.	I thought I had good experience under my belt, but I apparently suck in interviews.	retrieval
11	ojaYwi_38_0		Several days later, but I just want to say that this is great and thank you for sharing... I've been looking for methods/systems to help me organize and even *learn* to organize and this is exactly something I'm looking for, with a great explanation too.		retrieval
12	qOwxnV_83_0		Everything is so well organized I'm jealous!	Good job on clearing the clutter, I could never manage it.	retrieval
13	HcPCbS_320_0		My husband is super-organized, but sometimes it backfires on him.	If he's looking for the packing tape, he can't find it because he doesn't remember if he put it in the Fasteners drawer, the Office Supplies drawer, out in the garage, or with mailing supplies.	retrieval
14	QTbpt5_198_2	Tools and parts everywhere.	I LOVE working in a clean and organized environment, but no matter how hard I try, my workspace always seems to be a mess.		retrieval
17	C9Iyb6_196_5	This has resulted in pages of random lists - not altogether useful when I'm trying to retrieve the word later (we're not allowed to speak English, even at our homestays).	I'm wondering if anyone has suggestions on how to organize myself?	I was thinking I'd have a section for new vocabulary, one for difficult verb conjugations, and one for words I frequently mispronounce.	retrieval
18	C9Iyb6_195_5	This has resulted in pages of random lists - not altogether useful when I'm trying to retrieve the word later (we're not allowed to speak English, even at our homestays).	I'm wondering if anyone has suggestions on how to organize myself?	I was thinking I'd have a section for new vocabulary, one for difficult verb conjugations, and one for words I frequently mispronounce.	retrieval
22	oUpsSi_594_0		Yeah, I'm trying to write things down but then have a bad habit of not looking at the paper/planner again.	I admit that it would be nice if my husband would help me out.	retrieval
23	IkpoPk_544_3	And except for the bills part, disorganization doesn't really bother me.	In fact, I'm pretty disorganized myself.	So I could see myself dating an ENTP and enjoying it.	retrieval
25	x5DDct_87_2	It's totally the stress, I was doing awesome with weight loss for the first month or so of school because it was still easy and I wasn't stressed.	But it's gotten nearly unmanageable lately (and I use a planner to schedule everything).	I will do more to treat myself (non-food related) and i think next week should be less stressful than this one!	retrieval
26	QNAKsS_107_3	The only formal documentation training I've had is maybe a chapter in a book in college.	"I know the ""theory"" of documenting, and I'm great at every-little-step by step instructions, but making it pretty and organized eludes me."	Any chance you could pass on some template love to all of us baby BA's out there?	retrieval
27	MxV5Ts_91_0		I am incredibly organized.	Everything in my life from the supplies in my car, computer files, house (every item has a place it belongs and it must be there if not currently being used).	retrieval
