rank	docno	pre	text	post	source
1	2xJICw_68_4	So yeah, it is holding me up.	Especially when it's the last person in line and they take so long another person joins before I can run off to do the job I'm actually supposed to be doing.	I have no problem with people handing me a bit of change.	retrieval
2	uijJIh_97_0		The one thing that pisses me off more is when someone is in line, then when it gets to them, and they give you the 'one minute' gesture without looking up and walk back to get something.		retrieval
3	2xJICw_135_2	When someone takes time to write checks or count pennies they hold me, and everyone behind them up longer.	Not only does it annoy me to have to be there longer, but I can actually get in trouble for letting my line get too long.	I'm not necessarily annoyed that they're paying that way, just that they're holding up lines unnecessarily.	retrieval
5	Ea8K9Y_479_0		I can't stand waiting in line.	I live in a state where cans and bottles have a deposit.	retrieval
6	Ea8K9Y_437_1	I always feel awkward being the first person in somewhere.	I'll usually wait til I see someone else go in first then go in 5 minutes after.		retrieval
7	qy1fhs_220_0		When I have to wait a couple minutes longer for my fast food I usually just wait patiently because it's nothing to get flustered about.	You're driving up to a window and receiving food and it's still fast even if you wait 15 minutes.	retrieval
8	GGLIi5_359_1	I'm curteous as fuck, but here's where I draw the line.	I've lost count of the times I've waited in a long ass queue and had this happen:	Another checkout opens and I wait so other people can go in.	retrieval
11	6npo1h_799_1	No worries about complaining about asshole customers.	"I'm usually the person behind them in line that will say something first. """	Wow, that guy was really a jerk.	retrieval
14	N2yamK_142_1	I open the store often and the same thing happens when people try to shop before their shift.	They'll come in RIGHT as i open the doors, or shortly after, then get mad when 5 other people who did the exact same thing are in line in front of them.	Were a small store so we usually only have one cashier from the time we open for an hour or two.	retrieval
15	ymm8ug_50_3	Example: I've become a bit of a regular at a popular coffeeshop.	However, it's becoming awkward feeling when I come in and am waiting in line.	Usually the one or two talky baristas are chatting with everyone, lots of greetings are being exchanged, people are coming in and out - and nothing makes me aware of my *differentness* when this is happening and I go into mute mode and start to feel extremely overwhelmed.	retrieval
16	ePF5pQ_284_1	Anybody having issues?	I have been the same position in the queue for 15+ minutes.		retrieval
17	HOZWAn_7_1	Things come along eventually, and I have been where you are.	Sitting and waiting does a lot to your mental health, I suggest not getting too hung up, things will happen when they happen, trust me.	I went from having no prospects for about a year, no sex or anything, and then ended up having like 3 guys I was interested in back to back to back.	retrieval
18	ayBGQh_219_2	i still had to wait a few minutes but it was more reasonable than the extra 20.	to this day, i will call earlier if i know the person i'm picking up takes forever.		retrieval
22	eKH86f_389_2	i tried to play shinbi and had 5 draft dodges before i played one game.	my queue times are about 5 mins on average so 25mins of queuing up.	so i could probably spend 15-40 mins depending on the time of day trying to play a shinbi game.	retrieval
23	hi3VgZ_158_0		Hating it so much when I'm in queue and when I'm up, it prompts me to sign in and an error pops up - retry and I'm 4000 people back in line.	Damnit!	retrieval
24	bEEkAT_237_2	If you hit one of them, you will get sucker-punched and then kicked while on the ground.	I tend to just stand near them, preferably with them in front of me, and wait for my turn.		retrieval
26	IPDQq2_264_4	It is still good.	"Then I say ""next time I'm going to wait."""	and I never do.	retrieval
27	N8QXDi_527_0		I'm British and sometimes I just join queues out of habit, not even knowing what they're for.	At the cinema?	retrieval
28	N2yamK_401_1	Exactly.	There's been so many times that people leave the register for some reason, and I'm helping other customers when they get back, so they just stand in front of me, next to the person I'm helping, like they'll be able to just cut in front of everyone else who waited and READY to check out.		retrieval
30	45R7Dy_533_0		When the woman's line at the bar is too long I do.	These girls need to stop going into a stall 2 by 2.	retrieval
33	N2yamK_263_0		"On a similar note, when I'm already ringing someone out and ANOTHER customer tries to get my attention from the other side of the register to say ""I just have a question!!"""	Like, hold on 5 minutes, I'm sure its not that urgent.	retrieval
34	T4fdFa_342_1	Costco has the fucking worst checkout procedure.	I've had so many instances where after 20 minutes in line, they refuse to proceed with the transaction and sent me on my way.	I don't think membership agreement includes a clause allowing employees to use any sort of physical restraint toward the customer.	retrieval
35	0f249b_267_13	I prefer the old layout but the new layout didn't ruin the weekend for me or my friends.	One thing that bothered me a lot was hearing people complain about having to wait for stuff - mainly getting in and out.	Once you're in line and waiting, there's nothing you can do to speed it up so you may as well enjoy the people around you and whatever bass you can hear.	retrieval
37	g37qVb_28_0		I've had run-ins before with people who pretend they were in line, when they weren't.	IE: You aren't in line if there is 10+ feet of space between you and the customer at the register, sorry.	retrieval
41	BfMIME_3_0		I stand on my toes when at customer service/checking out at a store, like a little kid trying to see over the counter.	Guess my feet don't know I've grown a few inches taller.	retrieval
42	GqHsbn_118_2	I hit cancel and wait a few minutes and then it works.	Sometimes I have had been forced to wait one hour.	Makes no sense.	retrieval
43	65ZjSB_280_2	north america isn't an english-only continent my dude.	i know it's a pain in the ass but you've gotta see that there's really no way to deal with this, other than queuing with friends.		retrieval
46	AAsb7A_294_0		Another thing I hate is when paying the wait staff asking do you need change.	Do not assume you are getting a tip of my change.	retrieval
47	HcPCbS_232_0		I usually encounter people who think that five feet is the minimum acceptable distance between themselves and the next person in line, instead of people standing too close.	And then they get cranky if you assume they're not in line and go stand in what you think is the line.	retrieval
48	kJauVg_52_1	Unless I like you, I will wait forever, and I mean forever to respond to your text to me.	When it's a serious question or an emergency, then that drives me to wait even longer...		retrieval
49	GGLIi5_359_3	Another checkout opens and I wait so other people can go in.	After a few moments I say to the people in front, 'Do you guys wanna go in this checkout?'	The people look to one another, figuring what the fuck they should do with this golden opportunity.	retrieval
32	20s5O3_436_9	Taking serious inquiries only.	I have a Nin leveled as well with a genji weapon and I will eventually learn the class but am not good enough to call it an alt spec yet.	I am looking for a group that: - has 01-04 on farm - enjoys optimizing and speedrunning competitively - is confident in their ability to tackle super savage in the future - has a good time doing the above	random
33	weTf2T_207_0		We want to make our lord and savior MaryJ acceptable in the eyes of the masses, but I see this as a tiny step backward,		random
34	6SZ9cj_88_2	It does look sort of fun.	My acne is mild as well so this product might work well for me.		random
35	fXwkPM_45_1	See, this gives me a lot to think of.	I'm not adopted, but my son is.	His bio-mom was on drugs, 16 and had a rough life.	random
36	TUM3wB_599_5	I try to only get my carbs from veggies and fruits, but I do have rice every day (brown, multi-grain of course).	Carbs are my weakness but atleast they don't make me break out!		random
