rank	docno	pre	text	post	source
1	r9JvjV_241_0		From the other side, I'm dealing with this problem myself, I do an insanely boring job and they've recently banned earphones while working.	The boredom is unbearable, productivity is down and it's actually making me extremely stressed having to deal with the boredom all the time, makes it hard to get out of bed in a morning.	retrieval
2	ZA08H3_362_3	No one dares take my spot of course but I'm not allowed to leave things on it regardless so the 598cs are a decent portable solution.	But yeah, the office gets loud and annoying and that's why I need headphones.		retrieval
3	KvFAF3_462_1	Similar to your chewing issue I hate the sound of people biting into apples, chips, carrots, and other loud foods.	I regularly have to put on headphones between 11:00-1:00 at work to avoid the sounds of people eating loud foods at their desks.		retrieval
4	wjMfOa_827_1	Podcasts.	I work for myself and am always on the computer with headphones in, always listening to podcasts.		retrieval
5	7LPStu_15_2	I almost always have music playing.	On the bus to and from work, while at work, when I'm walking around town, even when I went a few hundred metres down the street today to get my haircut I had headphones in.	Any moment without music and I get lost in my thoughts which isn't always a good thing!	retrieval
6	KEHkBp_9_1	Background noise.	I work with children so it's constantly noisy and colleagues often complain that they can't concentrate to get any work done.	I can tune it all out completely, to the point where I don't hear the phone ring.	retrieval
7	0FLV27_4_7	Then I'll come back to the music, and I have no idea what's going on in the song, or even if it's the same song.	That said, I usually still listen to music while I work (software) because I can't stand the silence.	I'd like to enjoy music more, but the only time I've had any success is when I get high and just listen in bed with headphones.	retrieval
8	r9t6uu_865_0		I work in a call center it's fcking awful hearing everything several rows over.		retrieval
9	bDIZlT_113_4	Bit of a social environment, but my line of work involves writing code.	I wear headphones to make others aware that I'm trying to focus, and don't want to be interrupted.	I don't wear them all the time.	retrieval
10	RIz2w6_54_1	I seriously might get the timex weekender or easy reader *because* they tick loud.	I easily get distracted if their is a conversation going on in the background.	Of course the ticking won't block out the sound,  but it might serve as a white noise of sorts.	retrieval
11	8tNnG9_11_8	I just feel normal.	I am able to focus and work without being distracted by every minor noise sound or light.	I'm able to work for 30 minutes straight instead of 3 minutes max.	retrieval
12	bd2HpF_449_0		It's mostly for down time and while I drive or read a book but still I have a gig everyweek with just discussions and I can hear my watch and it's just anoying.		retrieval
13	Hl3moM_4_28	I get plenty now.	Something I've noticed when trying to work in my home office inside is the number of distractions increase.	I have a bunch of computers acting as servers and parts and it's hard to organize all of it.	retrieval
