rank	docno	pre	text	post	source
1	CAm8mr_145_0		How much and how loud I talk, occasionally interrupting people as well.	I'm a pretty self aware and open person, so those who really know me know I am aware of the tendency.	retrieval
2	RCnnw3_408_1	When I'm reflecting back on embarrassing events that  happened to me I'll unconsciously begin to say things out loud.	"It's never been noticable to others because it mostly happens when I'm alone, but I'll have moments where I'm like ""Why the fuck am I talking?"""		retrieval
3	hr2nUi_122_1	I do the same thing.	If I'm in a group chat it will feel like I'm talking non-stop because I feel just as involved reading everyone else's messages, but then I'll re-read the conversation and realize that I didn't talk nearly as much as I thought I did.	Self-analysis is probably the most tricky thing I can think of, simply for the fact that it's impossible not to be biased.	retrieval
4	XnmRA2_183_0		I talk too quietly too, but when people ask me what I said, I tend to repeat it at the same volume, despite trying to be louder.	Aggravating for both of us.	retrieval
5	sUTXt3_386_11	I'm a pretty lopsided personality, and this stupid thing hit all my character traits and it's a little disturbing.	I talk a lot, but it's a learned skill; if you talk you control the flow of ideas and others' impressions of you.		retrieval
7	jP0CQM_67_3	Ha!	I think I definitely interrupt and talk too long.	I'm a notorious interrupter... I've gotten better at that though... Through years of effort.	retrieval
8	ME6605_66_0		I don't actually like talking, and most of the time just do it to be socially acceptable.	I avoid people and can go days without talking or interacting with anyone, and really, really enjoy myself.	retrieval
9	vqItSu_154_3	It happens when my brain remembers something shameful and brings it up again.	I try really really hard not to talk but it often happens before I realize.	It's kinda like a tic.	retrieval
10	tIg8Wo_162_2	Personally, I tend to listen to a podcast or something at night to focus the thoughts so I can sleep (but even then, I sometimes miss several minutes at a time because something they said send my mind off in its own direction).	And people think I'm not a talker, because something they say to me will spin off many thoughts about possible responses, usually meaning the moment is lost by the time I decide what to say.		retrieval
11	lC5ENm_57_38	People who are wasteful during natural disasters get punished by local communities and they all agree to it, but I'm not part of that community and wasn't there, but they all agree to it and do seemingly crazy things to me.	I also talk way too much, so I'll try to pull back on that on any future responses!	Sorry if it was a long read or if it didn't answer your question in all aspects.	retrieval
14	jP0CQM_294_9	I've since become a lot more self deprecating in my initial interactions to try to dull that.	I also ask others to talk about them a lot more than I talk about myself or whatever thought I'm having.	You know, I treat them like a research topic that I'm learning more about.	retrieval
15	gMqaCD_108_0		Every single one, but mostly when I'm speaking to only one person, or if I'm part of a group.	Also, crowds.	retrieval
16	YSiFQR_125_5	Of course, there have been a few where no one really talks.	I'm not much of a talker unless the subject goes into one of my several interests or I have a friend with me.	People seem to enjoy my company though.	retrieval
18	0hjlwH_141_0		I just sometimes get overwhelmed by people talking around me and can't focus on any one conversation.	Have earplugs on me at all times so it can at least become quieter senseless noise for a bit.	retrieval
19	nRkklv_567_4	I've quit  the stream several times cause Epicenter uses autodirector and because of just the casting.	I have the feeling some talk way too much when it's really not necessary sometimes.		retrieval
20	IGNSFu_151_2	"Everyone will immediately drop whatever conversation they were having and tune in to me, saying something like ""I'm not really a big fan of mustard,"" with an intensity as if I said ""I kidnapped the president and he's in my closet."""	This won't just be once or twice when I'm hanging out with friends either; it'll happen almost every time I say anything.	I've been told that I have a voice that's deeper than one would expect me to have, and I'm sure that's part of why this happens.	retrieval
21	ZAuZ9I_82_0		for me I can talk to people if it's just a conversation between us but if it's me and 2 other people I freeze up and go dead silent.		retrieval
22	24DFpL_1059_0		I probably talk more when I'm by myself.	Which is weird.	retrieval
23	VPpaGl_58_1	this is so real.	"it happens to me everyday, where I have this attitude that ""no one really wants to talk to me"", and then I come off as ""someone who doesn't talk to others""."	It's a deadlock.	retrieval
24	qfeo5P_47_3	But i feel sometimes in conversation I cant be as witty or quick thinking, and sometimes have trouble keeping the conversation going.	I need 3 to 5 seconds before talking to be able to express myself.	Is this a brain chemistry problem and does it get better?	retrieval
27	uZZJeK_6_0		I am kinda the same way around my close friends and family those people i trust i tend to talk alot and generally speak my mind but in public is a completely different thing.	around others I am almost surgical in the way i speak and present myself never saying anything that could possible taking the wrong way and i try my best to stick to the background.	retrieval
28	jmhJJ5_63_0		I talk a lot.		retrieval
29	1Hydcx_199_0		I talk a LOT.	And really fast.	retrieval
31	PSBukZ_150_1	That is a great question that I find a bit difficult to answer, as I can't say I've consciously realized how my thoughts would sound.	I think it depends on the situation/conversation I am in.		retrieval
32	3EOMco_46_1	I used to, then I realized that hating small talk was only hurting me since it blocked me out of where that conversation leads to.	I don't like talking to people in that short window setting like at the grocery store mostly just because I feel guilty for not showing them the proper attention.		retrieval
33	HjkvoI_46_0		After I finish talking to someone I will repeat the last thing I said to them under my breath 3-5 times to make sure I said it correctly.	Sometimes I don't make it until they're out of earshot and it seriously weirds people out.	retrieval
34	pSZ7P4_152_3	Also I'm never afraid to look someone in the eye and have a normal conversation.	It used to be whenever I had to have a social interaction id be glancing to the ground and trying to somehow get out of talking with that individual, but I don't do that at all anymore.	And another thing I've noticed a lot of is  that I tend to not care what others think of me.	retrieval
35	PyEB2k_276_4	"So rarely does it occur to me to say to myself, ""I don't owe anyone an explanation for anything."""	I don't know about you, but I tend to overshare.	"On my first date with my ex I told him my whole life story, and since he's an abusive alcoholic he had no problem saying ""wow, why are you telling me all of this awful stuff about yourself?"	retrieval
36	pzVpik_625_0		I have poor volume control, sometimes when I'm talking passionately about something I raise my voice and don't even realize that people in the next town over can probably hear me.		retrieval
37	6mD5qO_4_1	How long did it take to become natural?	"I ask myself ""is this appropriate to say"" whenever I remember (which tends to be when I'm NOT excitedly and enthusiastically socializing)."	I still think it sounds right, and say it.	retrieval
38	w9lJxJ_15_1	Thank you so much for that advice.	It's odd because I know I have the ability to be not anti social but I have spent a lot of time not being around people so it's hard for me to understand how to have basic conversation without jumping too deep too fast.		retrieval
39	KDnOvf_175_2	Most of the time, if I'm in good spirits, I will actually respond.	The worst is when I'm a bit hungover/tired, and it's a real effort to come up with something to say, especially when it's someone I don't especially want to talk to.	This used to happen all the time at one of my old jobs, as it was full of loud, stupid people, and I was always drunk or hungover :p	retrieval
41	hIVPwA_293_6	My main weak point is probably my social skills haha.	I'm so awkward in conversations, I either can't think of things to say, or I say really weird shit.	"And I have some unconventional interests that are kind of off-putting for a ""pretty girl"" to like in the eyes of ""normal people,"" like tabletop RPG's and video games and shit."	retrieval
42	mnJWXU_539_4	And lots of other things, but for this story, those were the only catches.)	It took me about a week to realize that this was a grand opportunity to become a great conversationalist, and so I invited friends over all the time to just... Talk.	We're all better people for it.	retrieval
43	ixjTAT_8_0		I'm the opposite and fear I may talk too much.	"On Dust 2 for example, looking down mid with an AWP or Scout: ""One crossed."	retrieval
44	LG7SpI_215_5	"I wouldn't say I've ""aggressively"" tried making friends."	I try to talk to the people I sit around every day, small talk when waiting in line.	It's still kind of early.	retrieval
45	9Ytf0B_222_2	Going out to eat with people always makes me self conscious if its not close family/friends.	I always get SUPER chatty, which also means I always forget to finish eating my food.		retrieval
46	XKKHta_504_1	It's not unfair per se, but it is rude!	I've never found it appropriate to conduct more than a very brief phone conversation while one or more people were in the room with me.	It's plain inconsiderate.	retrieval
47	P3Z2mR_459_2	For talking, I think that comes with practice.	When I was a younger, like 10-15yo I never really talked partially because I didn't want to and the other reason was because I didn't know what to talk about with a lot of people		retrieval
48	2EeIm5_100_2	Almost everyone likes to talk about themselves.	Some of my friends default to talking about themselves in socially awkward situations, and then they wonder why people don't seem to like talking to them.		retrieval
49	tmfEST_578_2	People would I ask a lot of questions or that I'm annoying or that I don't let things go.	I've learned to tone it down when I first meet someone and I try to take note of people's body language as I'm discussing things with them.	If it starts to bother them, and it's not worth talking about further, I'll just drop it and try to talk about something they'd enjoy.	retrieval
50	nFBJ0j_435_2	I also get excited really really easy.	I solve the problem by just not talking at all in quiet places.		retrieval
43	gr20Wq_553_8	I'm deleting all of it.	That's the fourth time today one of you has twisted and bastardized my own thoughts and opinions to suit your own.	You guys are just too much.	random
44	weTf2T_207_0		We want to make our lord and savior MaryJ acceptable in the eyes of the masses, but I see this as a tiny step backward,		random
45	YkSgMM_292_3	Sure.	I don't see a problem with consensually acting out sexual fantasies.	&gt;People dont care about consent if you cross a line with someone who is 1 foot out of the relationship style.	random
46	TUM3wB_599_5	I try to only get my carbs from veggies and fruits, but I do have rice every day (brown, multi-grain of course).	Carbs are my weakness but atleast they don't make me break out!		random
47	woagy1_59_0		My first 2 packs I ever bought... I'll never forget that day.	Computer search in the 1st pack and a Charizard in the 2nd.	random
