rank	docno	pre	text	post	source
3	HjkvoI_46_0		After I finish talking to someone I will repeat the last thing I said to them under my breath 3-5 times to make sure I said it correctly.	Sometimes I don't make it until they're out of earshot and it seriously weirds people out.	retrieval
4	jP0CQM_67_3	Ha!	I think I definitely interrupt and talk too long.	I'm a notorious interrupter... I've gotten better at that though... Through years of effort.	retrieval
6	MrTbtb_313_5	Is there a way I could break the ice without those routine stuff or at least find a way to make it interesting?	Also, once I'm done with those, I don't usually know how to go on and I usually avoid awkward silences by dragging on with something that I've mentioned before.	With guys, its kind of easy to change subjects.	retrieval
7	MrTbtb_312_5	Is there a way I could break the ice without those routine stuff or at least find a way to make it interesting?	Also, once I'm done with those, I don't usually know how to go on and I usually avoid awkward silences by dragging on with something that I've mentioned before.	With guys, its kind of easy to change subjects.	retrieval
9	tIg8Wo_619_1	I know the feeling.	It's hard to keep up a conversation sometimes, because by the time I've planned out my response and considered all their possible responses in turn, the moment has passed.		retrieval
10	ZGePwY_5_3	It annoys so many people.	I try to respond quicker and end up nervously blabbering an incoherent sentence.		retrieval
12	UpzyfD_331_3	Especially in a work environment, I can usually tell what people are going to say before they even start.	I hate finishing other people's sentences for them, but I normally can.	Usually, yeah, I just help them out with finishing their thought.	retrieval
13	tIg8Wo_162_2	Personally, I tend to listen to a podcast or something at night to focus the thoughts so I can sleep (but even then, I sometimes miss several minutes at a time because something they said send my mind off in its own direction).	And people think I'm not a talker, because something they say to me will spin off many thoughts about possible responses, usually meaning the moment is lost by the time I decide what to say.		retrieval
16	LXWXXL_81_3	If I am with a group of people I lose the thread almost instantly.	My participation in a conversation has always been to ask people to repeat something, or to get them to clarify something because I have missed a beat.	Like as soon as I get the jist of one topic, people are off on a totally different topic.	retrieval
17	pmU8VS_219_0		I'm guilty of this, but generally I'm just thinking out loud and by the time I'm done with the thought I've moved on to other things.	I'm sorry and I'm working on it.	retrieval
18	vfDleH_188_1	This is the problem I have.	I try to listen, but I'm often spending that time trying to figure out what to say next.	It's a self-perpetuating deficiency.	retrieval
19	LXWXXL_80_2	That is one thing I have to work on; having a signature way of making people understand I like them.	I am always working on being a good listener, but sometimes I slip up, especially if the other person is a good listener themself.	In such a case I have to make a mental note not to go on for too long about myself!	retrieval
20	b2AaSh_171_0		Yeah, I say sentences back to front sometimes.	I usually don't realise I've said it wrong though until a little while after.	retrieval
21	hIVPwA_313_0		"I think I do this too, but I also trail off really badly at the end and then we're just left there in an awkward silence and he's looking at me like ""...okay?"""	He always humors me and patiently listens to my rambling though lol.	retrieval
22	qfeo5P_47_3	But i feel sometimes in conversation I cant be as witty or quick thinking, and sometimes have trouble keeping the conversation going.	I need 3 to 5 seconds before talking to be able to express myself.	Is this a brain chemistry problem and does it get better?	retrieval
23	Gxe4SQ_115_6	Yay steroids.	When I speak the conversation stops to listen.	I hear my name come up in conversations, and my advice and thoughts are given much more immediate consideration now (before being discarded when I say something dumb :b).	retrieval
24	MnSeqO_422_1	Me too!	Sometimes (at least once a day) I'll be in the middle of a sentence and then I just pause, trying to think of the word, it usually becomes awkward		retrieval
25	gMqaCD_108_0		Every single one, but mostly when I'm speaking to only one person, or if I'm part of a group.	Also, crowds.	retrieval
26	jP0CQM_67_4	I think I definitely interrupt and talk too long.	I'm a notorious interrupter... I've gotten better at that though... Through years of effort.		retrieval
27	sAkdx3_14_0		That's so crazy because I have do the exact opposite and am actually really bad at ending conversations... And when I try to jump out, they try to pull me back in.	The worst is when I'm trying to leave and people keep talking to me really enthusiastically or open up to me, and I'm conflicted because 9 times outta ten it's stuff I couldn't care less about.	retrieval
28	dwxr87_155_4	I also have to repeat what I'm going to order several times in my head before I actually order. ):	I usually get that reaction that you're talking about from others when I'm caught up in my own thoughts, and don't realize when someone is even speaking to me!	I think it's more awkward for my husband, though.	retrieval
29	RCnnw3_408_1	When I'm reflecting back on embarrassing events that  happened to me I'll unconsciously begin to say things out loud.	"It's never been noticable to others because it mostly happens when I'm alone, but I'll have moments where I'm like ""Why the fuck am I talking?"""		retrieval
30	YkA5tJ_437_0		(33,F) I have a bad habit of interrupting someone speaking when I relate to something they've said.	On the other hand, when I stay silent (it's what I'm working on) while they talk and try to keep a mental list of points they make to refer to when it's my turn to talk, all points evaporate.	retrieval
31	rf0cWF_592_0		after almost every sentence I ask myself if I can make it shorter and that usually helps.		retrieval
32	HnIEh7_137_3	If you can't interest me with your conversation, I'm going to stop trying with you.	I know several people who *think* they're having a conversation by rephrasing what I've just said all the time.	It feels like one step away from speaking to my own echo.	retrieval
33	TUM3wB_294_0		As soon as I trail off in the middle of a thought or sentence.	My mind usually goes a mile a minute, and I consciously make it a point to finish everything I've started to say, but when I'm drunk this just doesn't happen.	retrieval
34	r9JvjV_463_0		I'm curious, do you speak with so many pauses in or is it just a habit when typing?		retrieval
35	OUMQIF_64_1	Lync has made me into a person who interrupts people constantly in conversation.	Whenever I am reading someone's messages I am already responding and somehow this has carried over to conversations where I'll just blurt out what I want to respond with the moment it pops into my mind.	"It's almost like I'm saying it with the intention of ""sending"" it after the person has stopped talking."	retrieval
36	CTtgxX_128_0		Yeah, when it happens to me, I start saying random syllables that aren't exactly words, or repeat short sentences that have nothing to do with the context that I'm in.		retrieval
37	6mD5qO_72_3	I normally do re-read before sending anything.	When I'm talking, I do think about it before talking, but it doesn't happen all the time.	I will take other people into consideration more often.	retrieval
38	XnmRA2_183_0		I talk too quietly too, but when people ask me what I said, I tend to repeat it at the same volume, despite trying to be louder.	Aggravating for both of us.	retrieval
39	ymvhzy_183_26	This usually results in my not saying, or doing anything during the first date.	"I actually have to remind myself to say things, and I often feel like there isn't the ""right time"" to say them."	In hindsight I some of the dates were initially really into me, but they lost interest because I didn't do anything about it.	retrieval
41	JD2JQY_43_7	Sometimes I have no idea what to say either.	I'll be actively listening to a conversation and when I come up, I have trouble formulating an answer.	I'm also the last one to laugh at a joke a lot of the time, it's like I'm too slow to take part in a conversation.	retrieval
42	0HuQQi_115_3	"or because I'm going out for lunch and the ""correct"" time would be right in the middle of lunch hour (I'd rather avoid that traffic if I can)."	I also delay if I'm in the middle of something.	I really don't think that management cares or keeps track of all this (aside from making sure you take your lunch anyway).	retrieval
43	8cEmrk_451_4	U wanna fk lady boy?	Then usually i don't have to say anything after that b/c other people jump in and make fun of the person trying to identify who was talking before.	But if I talk enough people usually get I'm a woman.	retrieval
