rank	docno	pre	text	post	source
2	D0V24N_496_0		In general, while I find standing all day to be problematic, I know that sitting at my desk is generally considered a health issue.	In that vein, I've been looking at standing desks - or at least desks that can easily raise and lower to accommodate both sitting and standing as is desired.	retrieval
3	zkkowx_158_0		I usually do end up standing because it's just as easy for me and I really don't mind, I'm young and relatively healthy, but sometimes if my hands are full with textbooks or whatever I might take a seat so I don't drop them.	On those occasions, as I said, if I see someone that wants to sit down, I stand up and let them through.	retrieval
5	5B1GVF_31_21	Lifting got boring to me, so I took up rock climbing.	I try to stand as much as I can at work-- and now I've taking up biking and am trying to bike more than I drive.	More than anything, I try to give my body whatever form of exercise it's craving.	retrieval
6	KqRSrd_0_2	How much of an issue is this?	I spend a lot of time at a desk - both at work and at home.	I could, of course, just be active.	retrieval
7	ud2Wfj_953_2	Standing is much better for your vascular system.	Also when I was at school and I worked on the checkouts at a large electronics retailer, once I sat down I couldn't be arsed to get back up again.	That might be just me though, I am a lazy fucker.	retrieval
8	KDnOvf_296_0		I sometimes go into the cubicle if I want to blow my nose, or adjust my downstairs parts.		retrieval
9	zkkowx_158_1	I usually do end up standing because it's just as easy for me and I really don't mind, I'm young and relatively healthy, but sometimes if my hands are full with textbooks or whatever I might take a seat so I don't drop them.	On those occasions, as I said, if I see someone that wants to sit down, I stand up and let them through.		retrieval
10	9sBCbU_513_4	It'll take her 5 min to get used to it, but after that she won't want to use a computer without it.	For the body, I find it ideal to do a mix of things: use a standing desk that's ergonomically set up for you, take occasional breaks sitting down, go on walking breaks...		retrieval
12	Hl3moM_4_15	It just feels no good.	If I do have to be inside for a meeting or something I use a lap desk.	One of the biggest things I've noticed is just not feeling bummed out when I have to work when the weather is nice.	retrieval
14	L11x9n_148_18	I personally never have luck with waiting for the dream while in sp.	Instead, I always get up from SP and walk out of the room, usually just into the next room of my house, but from there I can go wherever.	I know how to focus on/imagine moving  my dream body instead of trying to fight the paralysis and move my real body, which would only result in me waking up.	retrieval
17	D0V24N_496_1	In general, while I find standing all day to be problematic, I know that sitting at my desk is generally considered a health issue.	In that vein, I've been looking at standing desks - or at least desks that can easily raise and lower to accommodate both sitting and standing as is desired.	I figure if I give it a try for several months, my posture would improve enough to make it less of an issue.	retrieval
18	o8NuGy_298_0		I almost always sit down when I pee.	It's more comfortable, I don't feel like I have to stand peeing when I can.	retrieval
19	vnFZYg_56_0		My office has desks that you can raise to standing position by pressing a button.	In the states I saw people stack boxes/books/furniture on their desks so they could work standing up. (	retrieval
20	Ec4Zc7_568_0		Yeah as a male teacher my primary concern is sticking my butt or crotch at eye level as my students are all much shorter than me, so when they are sitting at their desks, their faces are definitely at that height so I always make sure to squat or take a knee.		retrieval
23	OvH32L_362_0		Sit down when I pee all the time, I never stand unless im pissing outside		retrieval
24	yx1BVt_150_0		Before I leave a room I always check the seat I was sitting at to make sure I am not forgetting anything.		retrieval
25	Fr2sgs_60_0		I used to sit on top of desks during school, and I always put my feet on the metal bar that are attached to the desk.	So one day I was wearing heels and I continued to put my feet on that bar.	retrieval
26	fIU2YN_198_4	As soon as I start to get the hot wooshy I am going to die feeling I start to chug a power aid and sit or lay down!	I've had to sit on the floor in the grocery store and other public places and it's super embarrassing!	Good luck!	retrieval
27	koCvAY_67_6	I would love to work remote because then I wouldn't be limited to finding jobs in my ideal cities.	Although I do like going into the office sometime...not into a cube, but into an energetic open desk collaborative environment - that's a recent discovery of mine which I learned by being forced into it.		retrieval
28	5JkDCo_49_9	After that epiphany, I let loose my symphony of 'grenades and megaphones' without a care in the world.	Since then, I try to keep that mindset when I find myself in need of a sit down at a public restroom.		retrieval
29	lvcuZy_151_1	I'm sure plenty of people would use the opportunity to blow themselves.	I'd just be irritated at needing to sit on the desk to write.		retrieval
30	ZA08H3_271_2	At work, both of my side monitors are vertical and it confuses a lot of my co-workers.	We have open seating, but no one ever sits at my desk - pretty sure it's yet another perk of keeping them vertical.		retrieval
32	Fwz4lR_530_0		I sit next to the printer for my section of the office.	Slightly different, but I feel you pain.	retrieval
34	AYEhyr_389_0		No see, I sit in this weird position where I recline back in my chair, put my left leg on the desk, kind of bent up, with my right leg also bent up but wedged between me and the desk, with my foot about eight inches under my left knee.	Then, while browsing, my left hand is on my crotch (to keep it warm), and my right hand is scrollin'.	retrieval
35	P6Wtkr_121_0		When I was in school there was a kid who was told not to get out of his seat in regards that he wouldnt move around then, we had seats that weren't connected to the desk at the time.	So the kid moved the entire seat and got around that way.	retrieval
36	FwncAG_175_0		"I'm a shorter stature person (5'2""), and I HATE having to walk in-between cubicles early in the morning/late at night  due to the fear of something/someone is going to jump out in front of me."		retrieval
37	6mD5qO_58_1	I mean, I just desired to stand on the table.	I will stand on things (table, chair, curb/ledge) from time to time.	I do so more than my other friends, so I consider that just a thing I do.	retrieval
38	GbVRXk_77_3	The utter lack of respect for fellow students and accepted behavioural norms today are downright shocking to me, especially as an older student and an introvert.	I look around and see no less than 4 people with their feet up on chairs, on tables or desks – one of them is even barefoot (I see this on a daily basis).	It’s as if they’ve never once been told in their life that feet do not belong on tables or chairs – at home, on the bus or in public, especially not bare feet!	retrieval
39	kdPaBn_86_2	I just started a new job in October at the place where I interned.	What I've learned so far is that it's key to get up from your desk as much as possible.	I know that I head to the water cooler everyday, and I make it a point to acknowledge everyone I see.	retrieval
41	PXK2R2_138_2	Even if the student did faint, it still would not have indicated an error in judgment on your part.	I work in a school where the kids just sign out to go to the bathroom, but we still expect them to remain seated during direct instruction unless it's an emergency.	"Teachers have been telling students ""in about 10 minutes"" or ""as soon as I'm finished explaining this"" forever."	retrieval
42	qtS5a2_42_7	Unfortunately I am in a very visible location now so I can't just sit around on the internet or do my own work.	I do take little discrete breaks though or take walks a lot when I need a break from sitting at the desk.		retrieval
43	QVhS1m_513_0		Yup, I practiced at home and a week later switched to a standing desk at work.	Love it!	retrieval
44	IQNk46_231_11	I am considering getting a bunch of male-to-female right-angle for kicks.	Ok all of that being said, my experience may be biased as I've started using a drawing table as my desk and its turned out to be an ergonomic dream.	But even working on a nightmareish regular old countertop on a bar stool isn't bothersome, not something I notice like I used to using my old laptop (check it out I dug up the produce page!	retrieval
45	ZkLEzE_134_0		As someone who stands I've only recently learned that people sit while wiping, I find it insane that people sit to wipe I thought that wasn't even an option O_o		retrieval
46	SMpP2z_577_0		Two of the main reasons I've stayed at my job for 10 years is because I don't have to wear shoes and I can make my cubicle feel like home.	I'm a combined DSC apparently.	retrieval
47	SjQaDq_198_0		Most likely this will get buried, but here is the article that made me turn my desk into a standing one: http://time.com/sitting/		retrieval
48	Eo7R44_109_0		When working retail I used to sit to pee as a break from work.	I was only allowed two 15 minute breaks for 7 1/2 hours so I found my rear where I could.	retrieval
49	2zJcEn_200_0		thinking of getting one and i know i can also benefit from standing, but my biggest issue with desks and comfort is that i'm relatively short, 5'8 and for most desks I have to either raise the chair and then my legs hurt from not having my feet flat on the ground - or i lower the chair to comfort position but then end up having to raise my arms at a 45 degree angle to use the keyboard and mouse which starts to hurt very quickly.	Currently have a steelcase leap chair and I'm wondering if I get the autonomos smart desk and lower it to my perfect height where my hands go straight off the arm rest to the mouse/keyboard like [this](https://steelcase-res.cloudinary.com/image/upload/c_fill,dpr_auto,q_70,h_656,w_1166/v1468355939/www.steelcase.com/2016/07/12/16-0042466.jpg) will it nice and comfortable?	retrieval
39	YkSgMM_292_3	Sure.	I don't see a problem with consensually acting out sexual fantasies.	&gt;People dont care about consent if you cross a line with someone who is 1 foot out of the relationship style.	random
40	weTf2T_207_0		We want to make our lord and savior MaryJ acceptable in the eyes of the masses, but I see this as a tiny step backward,		random
41	woagy1_59_0		My first 2 packs I ever bought... I'll never forget that day.	Computer search in the 1st pack and a Charizard in the 2nd.	random
42	fXwkPM_45_1	See, this gives me a lot to think of.	I'm not adopted, but my son is.	His bio-mom was on drugs, 16 and had a rough life.	random
43	NqRoXm_433_2	Well done with ketchup.	I can't stand Barack Obama but I bet he knows not to eat a steak well done and then kill it with ketchup.		random
