rank	docno	pre	text	post	source
2	NywRGV_76_1	I'm also a night owl but I try to get up relatively early in the morning so I can be out of bed by 8:00 or 9:00 AM.	I have to plan my day to get as much done as possible and then *never stop moving,* or else I run out of steam and get tired.	Basically, once I get going I'm unstoppable.	retrieval
3	ES9zkY_40_1	I am like this, and I am phasic.	I will go through periods of time where I feel and act exactly as you describe, and a few months later, I will retract and be very unproductive.	It drives my wife crazy.	retrieval
4	GxMiSv_515_0		Same, I'll get hyper focused on stuff that I don't need, and neglect tasks that need to get done.	For example I'd sit down to write a 10 page paper, end up 4 hours with an excel spreadsheet workout/muscle growth tracker.	retrieval
6	QTbpt5_187_2	I definitely CAN focus on things.	I actually find that when there is a project I'm working on or something I want to do, it basically takes over my life.	Currently working on landscaping my yard and building a cafe racer motorcycle......ALL I can think about is this stuff even though there is other stuff that is more important to take care of, but somehow it doesn't seem to matter.	retrieval
8	DAUMQ3_398_1	Lifting, music, martial arts as of late.	I'm a neurotic perfectionist so I generally find it hard to think about things just a bit...obsession is pretty much the norm		retrieval
9	RK28rZ_32_3	I ask questions because I can be so compulsive about people not seeing the deeper meaning behind what they shy away from, but I guess that last bit is my thing.	Other than that, I phase in an out of motivation, and can go from super motivated to do something and I drop everything at once, or I can lose it all in an instant.	I figured out as I became older I usually only lose the motivation in the one thing I was doing at the time, so I just find motivation in other things I love doing that are productive -- most of my hobbies are work -- programming, writing, studying -- or I can turn them into that.	retrieval
10	GYrSqZ_220_0		I feel like this when I don't have anything particularly fun/exciting to do, which is most of the time for me.	Stopped when I went to Europe though, maybe you should do something like that for a while, if money allows for it.	retrieval
11	5RFj8S_16_0		For me, it's like I need/want to have my brain maxed out at all times.	So  if I'm watching TV and it's not that interesting, I start surfing my phone too.	retrieval
12	juP3Fm_74_5	And yes I have problems not doing anything.	I use to be the laziest person ever, but since I moved out at 20 and had no financial support through college because my parents are poor, I've turned into this productivity machine that rarely sits still.		retrieval
14	wLNN21_147_3	"The sun tells you ""stop, the time and place are over, realize you have responsibilities""."	When I don't have things I need to do, it makes me think of all the stuff I'm putting off And should do.		retrieval
19	CTtgxX_841_1	I'm pretty sure I'm having some sort of seizures.	"I constantly ""space out"" lose control of my body, and drop whatever I'm holding or randomly grab at things."		retrieval
20	NLNahy_253_2	I make sure my life always has something new to learn or do.	I try to make sure that I am always busy and when I do have time to relax, I make sure my relaxation time is something I enjoy but also I get bored of relaxing quite easily so I guess I'm lucky there.	I recently quit alcohol for my 20th birthday, after having quit drugs for a year, so temptation wasn't an issue.	retrieval
21	wjMfOa_488_1	&gt; Best question: When do I want to retire/not have to work?	So, I'm one of those people that always has to have something to do, or I lose my mind.	Even in retirement I very much see myself still working.	retrieval
22	s44JCN_596_0		I'm exactly the same way, with the difference being that I do have a bunch of hobbies to keep myself busy.	But even then I find myself constantly messaging people to meet up but they rarely can.	retrieval
