rank	docno	pre	text	post	source
2	DCNR2N_106_2	I haven't really had any problems with it besides a loss of concentration.	I forget where I put things all the time.	I always have to have a set space to put things to make it consistent, otherwise I'll spend forever trying to find something.	retrieval
3	fIU2YN_387_3	I need to do this to my vanity.	I'm constantly searching for things because I use something then just throw it into a random drawer.		retrieval
4	zfMeUE_176_2	I've lost photos and catalogs a few times, (in the past I didn't take very good care to not lose/damage things, irresponsible teenage/young adult years).	I moved around a lot too, and items were lost or misplaced or thrown out. &	lt;- I signed up for Crashplan last night, and now keep a 2TB external hd, and plan to get a 1TB internal hd as well.	retrieval
5	CxSiFB_161_1	Even though it's a hassle taking off my shoes and standing in the scanner, I'm impressed by my experiences with the TSA.	One time I forgot my fairly large pocketknife in a side pocket of my computer bag.	TSA immediately found it and made me dispose of it.	retrieval
6	weTf2T_775_0		One time I lost my phone, then spent a good 15 minutes looking for it.	It was dark, so I used my phone as a flashlight.	retrieval
7	ZVHWU6_445_0		I lose my phone every damn day...		retrieval
8	2LKnGU_42_0		I can't tell you the number of times I've dropped one only to find it the next morning.	However, mine tend to find their way into the sink, from which there is no return.	retrieval
9	weTf2T_430_0		It's a problem when I HAVE TO GIVE UP LOOKING FOR MY ITEM OUT OF FRUSTRATION.	TORCHBUG TREACLE.	retrieval
10	SkLhgW_608_1	I typically close so I honestly wear my garmin vivofit 3 all the time.	I took my watch off once and lost it in the store for MONTHS until I finally caved and bought a new one (of course)		retrieval
11	XEm5O0_654_3	If I went missing one of the weird things people could discuss would be that there are 4 toothbrushes in the holder when only two people live in the apartment - one is mine and two are new toothbrushes I had to buy and open while travelling because I forgot mine.	Ditto for metro cards and daily planners, which I lose, replace, and then find again a couple times a year.		retrieval
12	Tk9gpC_804_1	I... am...	forgetting where I put my keys!		retrieval
13	gAWfhW_60_0		Funny, I always find myself losing them.	Guess I'll have to make another trip to the store...	retrieval
15	DUoQFD_146_0		I had an old razor holster laying around and was also losing my usbs constantly.	So I can up with this.	retrieval
16	KLXL9V_303_5	There's an authorized dealer near where I live now, and I took my watch there several times.	One day I couldn't find my watch and I wondered if I had maybe taken it in to be cleaned and forgot to pick it up.	When I spoke to them, they said that they had only had my watch once when they replaced a lost screw.	retrieval
17	vyTKFU_384_2	Even though it's working it is not safe.	When I find those I cut the cord off so someone doesn't find and reuse it, or dig it out of the garbage pile.		retrieval
18	CTtgxX_37_6	What's most iritating is how my mother INSISTS I left it the hospital, despite me saying I remember playing it on the way home.	I have lost chargers and little things, but I was definitely too attached to the console to just forget it.	(Sorry for being a broken record.)	retrieval
19	Y3DdK0_826_1	Me too.	I never know where they are.		retrieval
20	q0oxkq_376_1	My Gza/Genius Liquid Swords CD.	I noticed one day my Cd was missing and had no clue where it went.	I never let people touch them when I take them with me and always check them before I leave and one day it just disappeared.	retrieval
21	ltTXdP_258_2	2001) I've also pulled clothes out of dumpsters and intercepted clothes before they went to the thrift stores.	"At the store, I'm always telling myself ""you don't need it"" putting it back, leaving empty handed, getting home and realising I needed the thing."		retrieval
22	zzFg8b_34_0		I sure I can't be the only one that lost my phone, and lookes around to only find out it was in my pocket or hand...		retrieval
24	ltTXdP_297_1	Same with my mom.	If I left it somewhere, it was because I was coming back for it, or because I had gone to the bathroom or something.	She'd swoop in like a vulture and the thing would be gone.	retrieval
25	q0oxkq_376_2	I noticed one day my Cd was missing and had no clue where it went.	I never let people touch them when I take them with me and always check them before I leave and one day it just disappeared.	Then, one day, I went to my best friends house and was looking through his CD's and see he now has the Gza's CD but no book to accompany it.	retrieval
27	vsNAfh_100_39	Couldn't find it, so then i got desperate.	"I began searching through all the hiding spots of my mom when she takes my shit (She takes my keyboard, mouse, or my other stuff if i ""Overstep her rules"") Couldn't find it."	So for the next few days, i was pissed and confused on how the fuck i lost the audio recorder.	retrieval
28	qXaDwo_68_0		I work at a club, we have hundreds of passports, wallets and phones in our lost property, however, the banks get pissed when we come in once a week with 30-40 cards, the police get mad when we turn up once a month with 50 passports, and once a phones battery dies or it has been switched off, its useless.	Therefore, if no-one has returned to claim their shit after 1 month, we burn it.	retrieval
29	CqwaWM_350_2	I remember him giving me a small wind up car before he passed.	I lost it behind a refrigerator around a month later.		retrieval
30	BY1DLD_146_6	It's been about a year since that happened and it never showed back up.	"This sort of thing has happened a few times different places I've lived and usually things show back up in a slightly different place than where I ""lost"" them."	I've just accepted there are some places that are essentially dimensional cracks ....	retrieval
31	EgzFAN_300_5	I have a cloth bucket type thing with pockets in it if I have to bring up more, I fill that bitch up and haul it up with a rope cause I have 2 tool bags worth of shit.	Every few months I have to dump them out like an old lady's purse and put everything in its rightful home.		retrieval
32	BhRGAI_607_6	One or two missing, sure, I would definitely have thought I had misplaced them.	But I'd been lugging them around for practically a decade and never lost one... coming in to see the boxes all opened, that was the last thing I thought would be missing.	I racked my brain repeatedly to try to find any other reason.	retrieval
34	9y5IrX_8_11	&gt;Regarding keeping fighters away from flak, that seems easier said than done.	Those things go everywhere, I can't keep an eye on all of them all the time.	To me, that point stands as a way that fighters can disappoint.	retrieval
35	Y0xPnR_905_1	I've become obsessive over whether or not I've done things like locked the door or have everything I need.	I literally keep track of my belongings constantly when out and about (I've had to practice a LOT) because I know that, otherwise, I'd lose/forget everything.		retrieval
36	DCNR2N_117_9	The thing is that you just have to immediately put that thing back in its spot when you're done.	It can be a pain sometimes but if I don't do it and leave it somewhere else, it's lost to me and it'll take minutes to hours to find it again.	With meds, I have a computer tower on top of my desk.	retrieval
37	R8ykeV_77_2	I keep them with me whenever I leave the house, along with the more obvious essentials.	It's super easy to lose track if I leave any of them lying around the house.	X)	retrieval
38	M8YsLc_239_2	Losing those damn bottles is so frustrating!	I spent hours searching for one (I always keep it in the same pocket of my bag) and found it underneath the couch.	This post is totally the reason why I'll only wear a small band when I get married.	retrieval
39	KKQVnP_96_1	I feel the same way.	I work from 6 pm - 1 am on weeknights and I keep hoping that something will be found while I'm busy working only to be disappointed every time I check.	I cannot imagine those family members with a serious vested interest in this.	retrieval
40	R8ykeV_73_1	That's really cool!	I carry my handbag all over, for the most part, but I find myself rummaging for commonly-used items and occasionally I leave them out just to avoid rummaging... and then they're no longer in my handbag.	I have a little bag floating around somewhere.	retrieval
41	gHWaIw_94_1	I would have more than 100 tabs by now except for the slightly annoying fact that chrome on my phone decides to forget every single tab I have every once in a while, and I have to try again.	On a more serious note though, I use chrome to take note of stuff, so it's really annoying that I lose my stuff. (	I'm lazy to use a note-taking app to take down URLs)	retrieval
42	UpzyfD_440_0		I try not to keep too much stuff on my desk in general and that helps because I don't always remember where I put something.	I park in the same general area because the lot sucks to get out of and after a few road rage incidents I realized where the best place to park is, but doesn't have to be the same spot.	retrieval
44	44TXkW_175_1	HA, 1965 so close to silver on the quarter.	I swear I find them all the time in my change.	If you found a standing liberty over there before I did I might be upset.	retrieval
45	93zmsZ_346_1	As an owner of a car with keyless entry and only needing the keys within the confines of the car to start it, I can tell you this can be a real problem.	I have often lost my car keys whilst driving		retrieval
46	BDfPbu_965_8	A few days later I noticed he left the PS3 controllers &amp; remote control on the floor of the living room.	"Not wanting someone to trip on them, I placed the devices up in the dish of an unplugged floor lamp sitting in the corner of the room and conveniently ""forgot"" I'd placed them there."	The lamp was above eye level and the dish was opaque, no one thought to look up there.	retrieval
47	qnBnbJ_255_2	I wear my grandma's ring she left to me almost everyday.	There are times where I've panicked &amp; thought I left it washing my hands somewhere only to realize I forgot it @ home even though I swore I had it on.	I'm so used to having it on that it feels like I'm still wearing it even if I'm not.	retrieval
48	XTAO1t_323_1	Do you happen to know which fuses those are?	My husband said he looked for it/them and couldn't tell where they were...		retrieval
43	weTf2T_207_0		We want to make our lord and savior MaryJ acceptable in the eyes of the masses, but I see this as a tiny step backward,		random
44	woagy1_59_0		My first 2 packs I ever bought... I'll never forget that day.	Computer search in the 1st pack and a Charizard in the 2nd.	random
