rank	docno	pre	text	post	source
1	pmU8VS_37_0		I have reminders on my phone for everything that's important, keep my meds in my car so I don't forget them, but I like to plan for things and the reminders just don't do it.		retrieval
2	hxnPGC_895_3	Little things, like pieces of conversations I have.	I've been forgetting appointments which is something I've never dealt with before.	Apparently it's pretty common, several friend who have taken it said the same thing, that their memory suffered greatly while on it.	retrieval
3	P4snm9_56_9	You can do it!	Oh yes, I rely on reminders for everything these days.	It takes a little of the pressure off, but it also means everything goes to hell if I forget to set the reminder in the first place.	retrieval
4	qNUBqp_24_5	Otherwise, it alerts me that morning when I am most likely to check email.	I also have alarms set on my phone if there is a daily expectation, like lunch or switching classes.	Hope this helps.	retrieval
5	aGmUz3_162_1	I do monthly pages and the daily pages.	My phone calendar works much better for reminders and appointments.	I can set a reminder about an email in a couple mouse clicks.	retrieval
6	GOJ1Sx_495_1	She's freaking 60 man.	If I told you the number of times I have to remind my 60 year old grandmother of stuff, she forgets things all the time.	I'd just let her know that you didn't mean to make her feel disrespected, but you really couldn't work the 11th, and that in the future you'll try to remind her.	retrieval
7	jC14T5_490_44	I'm sure the vitamins help my general health - when I remember to take them.	* **All types of planners, calendars, and reminder apps:** I ignore them or forget to input dates into them, see procrastination.	"* **""Just doing it"":** I fucking wish."	retrieval
8	6CBawK_136_0		Yeah to-do lists have been my go to for quite some time now lol but I have been awful at remembering my medications at the right times (even with alarms set) :/ I'm trying to get better at writing everything down - I am definitely guilty of having too many places where I try to track things, phone, physical calendar, notebook.. I have got to get better about having everything in one central place!		retrieval
10	mhvJ3E_224_1	I have better long term memory.	I tend to forget a lot of short term things, unless I am interested in them.	It's actually probably not that I *forget*, it's that I'm not paying attention in the first place.	retrieval
11	Af1kuG_80_1	I know I'm so excited!	I put three reminders on my phone so I won't forget		retrieval
12	WLNzqL_525_7	A daily vow, like the bodhisattva vow could be very helpful for you too.	It has taken me a while to be ready to commit to it without forgetting but it really helps me set my intent for the day.	Sending metta.	retrieval
13	cQDPe0_912_2	If I'm busy when I get a text, I will quickly glance at it and then make a mental note to respond later.	However, I nearly always forget.	So I just assume that's what happens if I ever text people.	retrieval
14	ZJJsy6_79_0		I forget stuff all the time too.	I have a blackberry and use that to try and cope.	retrieval
15	P4snm9_56_2	Have you ever set a reminder on your phone for habits you need to keep up with?	I found that getting everything down with timed alarms, or reminders set when I need to leave for an appointment, helped a lot with consistency.	I'm able to set repeats that make it automatic.	retrieval
16	iOYGWf_702_0		I tend to forget things too.		retrieval
17	imsn0a_422_0		Started setting reminders for myself in my phone.		retrieval
18	krGWMj_29_2	You won't believe how far out of my way I've gone out of my way to make sure I take my pill in time.	I'm insanely forgetful by nature, but that's one thing I can ALWAYS keep track of.	There have been several occasions where I've run 2 miles back and forth from school between classes to go home and get it, because I forgot to do it in the morning.	retrieval
19	ZJJsy6_79_3	If i think a conversation might be important I email myself.	If I have an important meeting, I put it in my calendar.	Embrace technology man!	retrieval
20	ujuSHI_178_0		I keep forgetting I have it... :-/ but it is exceptionally awesome at scheduling reminders		retrieval
21	39aQJA_317_0		I have a smart watch that vibrates and reminds me of things to do so I won't forget.		retrieval
22	ES9zkY_924_4	My work as a software engineer is bolstered by hyperfocus, though I have to muster the discipline to push through the noise and ascend into that headspace, which can be painful.	For everything else, I book reminders in a calendar on my phone.		retrieval
23	W5Eaz2_704_1	Same!	I'm so forgetful that if I don't put it in my journal it might as well not exist for me.	I still don't remember my SO's birthday unless I look it up regularly.	retrieval
24	Y0xPnR_348_5	I've been trying to get into the habit of writing down the random ideas or theories I have so I'll have them recorded.	I forget them 90% of the time.	You could try reading Stephen King.	retrieval
25	Vtgm31_129_0		Most of the time I don't even remember the first three alarms...I have to have four otherwise I will have no recollection of them ever going off.		retrieval
